Istituto Principale,Scuola,Tipo Istituto,Tipo Gestione,Indirizzo,Comune,Telefono,Fax,Email istituto,Email segreteria,Sito web,Codice MIUR,CAP
Scuola dell'infanzia di Ronchi Valsugana,Scuola dell'Infanzia di Ronchi Valsugana,Scuola dell'infanzia,Paritaria,"Via Marchi, 14",RONCHI VALSUGANA,0461-773197,,ronchi.valsugana.presidente@fpsm.tn.it,ronchi.valsugana.segretario@fpsm.tn.it,,,38050
ISTITUTO COMPRENSIVO CEMBRA,SCUOLA PRIMARIA VERLA GIOVO,Scuola Primaria,Statale,"Via Dell Oratorio, 15",GIOVO,0461/683006,0461/682166,ic.cembra@pec.provincia.tn.it,segr.cembra@scuole.provincia.tn.it,www.iccembra.it,TNEE82203Q,38030
ISTITUTO COMPRENSIVO CAVALESE,SCUOLA PRIMARIA MASI CAVALESE,Scuola Primaria,Statale,"Via Damiano Chiesa, 110",CAVALESE,0462/340314,0462/342294,ic.cavalese@pec.provincia.tn.it,segr.cavalese@scuole.provincia.tn.it,www.iccavalese.it,TNEE80906C,38033
Scuola dell'infanzia di Fondo,Scuola dell'Infanzia di Fondo,Scuola dell'infanzia,Paritaria,"Piazza Don Stefenelli - Fondo, 5",BORGO D'ANAUNIA,0463-831254,,fondo.contabile@fpsm.tn.it,fondo.segretario@fpsm.tn.it,,,38020
Scuola dell'infanzia di Volano,Scuola dell'Infanzia di Volano,Scuola dell'infanzia,Paritaria,"Via S Maria, 13",VOLANO,0464-411516,,volano.segretario@fpsm.tn.it,volano.segretario@fpsm.tn.it,,,38060
ISTITUTO COMPRENSIVO CENTRO VALSUGANA,"SCUOLA PRIMARIA ""C. CORRADI"" NOVALEDO",Scuola Primaria,Statale,"Piazza Municipio, 5",NOVALEDO,0461/764581,0461/771046,ic.centrovalsugana@pec.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,www.iccentrovalsugana.it,TNEE813064,38050
Scuola dell'infanzia di Ossana,Scuola dell'Infanzia di Ossana,Scuola dell'infanzia,Paritaria,"Via Venezia, 1",OSSANA,0463 751164,,ossana.presidente@fpsm.tn.it,ossana.segretario@fpsm.tn.it,,,38026
"Scuola dell'infanzia di Martignano ""D. Leone Serafini""",Scuola dell'Infanzia di Martignano,Scuola dell'infanzia,Paritaria,"Via Sabbionare, 3",TRENTO,0461-820233,,martignano.segretario@fpsm.tn.it,martignano.segretario@fpsm.tn.it,,,38121
ISTITUTO COMPRENSIVO CENTRO VALSUGANA,SCUOLA PRIMARIA TELVE DI SOPRA,Scuola Primaria,Statale,"Via delle Scuole, 19",TELVE DI SOPRA,0461/764581,0461/771046,ic.centrovalsugana@pec.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,www.iccentrovalsugana.it,TNEE813031,38050
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO",LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE,Scuola Secondaria di Secondo Grado,Statale,"Via Durone, 53",TIONE DI TRENTO,0465/321735,0465/322811,guetti@pec.provincia.tn.it,segr.guetti@scuole.provincia.tn.it,www.guetti.tn.it,TNPS007014,38079
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA",LICEO LINGUISTICO,Scuola Secondaria di Secondo Grado,Statale,"Via S Pietro, 4",PERGINE VALSUGANA,0461/511397,0461/531743,curie@pec.provincia.tn.it,segr.curie.pergine@scuole.provincia.tn.it,www.curiepergine.it,TNPS00401L,38057
"LICEO ""A. Maffei"" - RIVA DEL GARDA",LICEO MUSICALE E COREUTICO,Scuola Secondaria di Secondo Grado,Statale,"Via Alberti Lutti, 7",RIVA DEL GARDA,0464/552316,0464/552316,maffei@pec.provincia.tn.it,segr.liceo.maffei@scuole.provincia.tn.it,https://e.liceomaffei.it,TNPC01000Q,38066
Scuola dell'infanzia di Mechel,Scuola dell'Infanzia di Mechel,Scuola dell'infanzia,Paritaria,"Via Don Luigi Borghesi, 35",CLES,0463-421247,,mechel.presidente@fpsm.tn.it,mechel.segretario@fpsm.tn.it,,,38023
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE","LICEO DELLE SCIENZE UMANE ""LA ROSA BIANCA""",Scuola Secondaria di Secondo Grado,Statale,"Via Gandhi, 1",CAVALESE,0462/341449,0462/248071,weisserose@pec.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,www.scuolefiemme.tn.it,TNPS001015,38033
"ISTITUTO TECNICO TECNOLOGICO ""M. Buonarroti"" - TRENTO",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE,Scuola Secondaria di Secondo Grado,Statale,"Via Brigata Acqui, 15",TRENTO,0461/216811,0461/984216,buonarroti@pec.provincia.tn.it,istituto.tecnico@buonarroti.tn.it,www.buonarroti.tn.it/,TNTF01351V,38122
ISTITUTO COMPRENSIVO TIONE,"SCUOLA PRIMARIA ""A. PRANDINI"" RONCONE",Scuola Primaria,Statale,"via 3 Novembre, 22",SELLA GIUDICARIE,0465/321053,0465/324039,ic.tione@pec.provincia.tn.it,segr.ictione@scuole.provincia.tn.it,www.ictione.tn.it,TNEE83605Q,38087
ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO,"SCUOLA SECONDARIA DI PRIMO GRADO ""S. BELLESINI"" VEZZANO",Scuola Secondaria di Primo Grado,Statale,"Via Roma - Vezzano, 3",VALLELAGHI,0461/864026,0461/340648,ic.valledeilaghi@pec.provincia.tn.it,segr.ic.valledeilaghi@scuole.provincia.tn.it,www.icvalledeilaghidro.it,TNMM84401D,38070
Scuola dell'infanzia di Predazzo,Scuola dell'Infanzia di Predazzo,Scuola dell'infanzia,Paritaria,"Via Gabrielli, 1",PREDAZZO,0462-501312,,asilopredazzo@yahoo.it,predazzo.segretario@fpsm.tn.it,,,38037
ISTITUTO COMPRENSIVO FONDO - REVO',"SCUOLA PRIMARIA ""Stefano Zuech"" BREZ",Scuola Primaria,Statale,"Via Nigaiola - Brez, 1",NOVELLA,0463/831134,0463/831746,ic.fondo@pec.provincia.tn.it,segr.ic.fondo@scuole.provincia.tn.it,www.icfondorevo.it,TNEE82808X,38028
ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO,SCUOLA SECONDARIA DI PRIMO GRADO CANAL SAN BOVO,Scuola Secondaria di Primo Grado,Statale,"Localita Lausen, 13/Z",CANAL SAN BOVO,0439/62435,0439/762466,ic.primiero@pec.provincia.tn.it,segr.icprimiero@scuole.provincia.tn.it,www.scuoleprimiero.it,TNMM81001A,38050
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE","LICEO LINGUISTICO ""LA ROSA BIANCA""",Scuola Secondaria di Secondo Grado,Statale,"Via Gandhi, 1",CAVALESE,0462/341449,0462/248071,weisserose@pec.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,www.scuolefiemme.tn.it,TNPS001015,38033
Scuola dell'infanzia di Campodenno,Scuola dell'Infanzia di Campodenno,Scuola dell'infanzia,Paritaria,"Via S Maurizio, 3",CAMPODENNO,0461-655166,,campodenno.presidente@fpsm.tn.it,campodenno.segretario@fpsm.tn.it,,,38010
Scuola dell'infanzia di Nave San Rocco,Scuola dell'Infanzia di Nave San Rocco,Scuola dell'infanzia,Paritaria,"Via 4 Novembre, 34/A",TERRE D'ADIGE,0461-870656,,nave.presidente@fpsm.tn.it,nave.segretario@fpsm.tn.it,,,38010
ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO,SCUOLA PRIMARIA VIGO CAVEDINE,Scuola Primaria,Statale,"Via Don Negri, 21",CAVEDINE,0461/864026,0461/340648,ic.valledeilaghi@pec.provincia.tn.it,segr.ic.valledeilaghi@scuole.provincia.tn.it,www.icvalledeilaghidro.it,TNEE84407R,38073
Scuola dell'infanzia di Borgo Valsugana,Scuola dell'Infanzia di Borgo Valsugana,Scuola dell'infanzia,Paritaria,"Piazza Romani, 8",BORGO VALSUGANA,0461-754771,,borgo.valsugana.presidente@fpsm.tn.it,borgo.valsugana.segretario@fpsm.tn.it,,,38051
"ISTITUTO COMPRENSIVO ALA ""Antonio Bresciani""","SCUOLA SECONDARIA DI PRIMO GRADO ""C. BATTISTI"" ALA",Scuola Secondaria di Primo Grado,Statale,"Via Don Anzelini, 2",ALA,0464/671119,0464/674138,ic.ala@pec.provincia.tn.it,segr.ic.ala@scuole.provincia.tn.it,www.istitutocomprensivoala.it,TNMM84801R,38061
"ISTITUTO COMPRENSIVO CLES ""B. Clesio""","SCUOLA SECONDARIA DI PRIMO GRADO ""V. Inama"" CLES",Scuola Secondaria di Primo Grado,Statale,"Via Chini, 31",CLES,0463/421457,0463/424830,ic.cles@pec.provincia.tn.it,segr.ic.cles@scuole.provincia.tn.it,www.iccles.it,TNMM83101B,38023
"ISTITUTO COMPRENSIVO CLES ""B. Clesio""","SCUOLA PRIMARIA VAROLLO LIVO ""Chiara Lubich""",Scuola Primaria,Statale,"Frazione Livo,  92",LIVO,0463/421457,0463/424830,ic.cles@pec.provincia.tn.it,segr.ic.cles@scuole.provincia.tn.it,www.iccles.it,TNEE83102D,38020
"ISTITUTO COMPRENSIVO ALA ""Antonio Bresciani""","SCUOLA PRIMARIA ""M.T. di Calcutta"" SERRAVALLE",Scuola Primaria,Statale,"Via Negrelli - Serravalle, 10",ALA,0464/696606,0464/674138,ic.ala@pec.provincia.tn.it,segr.ic.ala@scuole.provincia.tn.it,www.istitutocomprensivoala.it,TNEE84802V,38061
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""G. Floriani"" - RIVA DEL GARDA",ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE,Scuola Secondaria di Secondo Grado,Statale,"Viale Dei Tigli, 43",RIVA DEL GARDA,0464/578511,0464/578555,floriani@pec.provincia.tn.it,segr.istitutofloriani@scuole.provincia.tn.it,www.g-floriani.it,TNTD008515,38066
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""G. Floriani"" - RIVA DEL GARDA",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE,Scuola Secondaria di Secondo Grado,Statale,"Viale Dei Tigli, 43",RIVA DEL GARDA,0464/578511,0464/578555,floriani@pec.provincia.tn.it,segr.istitutofloriani@scuole.provincia.tn.it,www.g-floriani.it,TNTD008515,38066
FONDAZIONE EDMUND MACH - ISTITUTO AGRARIO SAN MICHELE ALL'ADIGE,SETTORE AGRICOLTURA E AMBIENTE,,Paritaria,"Via Mach, 1",SAN MICHELE ALL'ADIGE,0461/615213,0461/615273,amministrazione.cif@pec.iasma.it,segreteria.scuola@fmach.it,www.fmach.it,TNCF006001,38010
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""G. Floriani"" - RIVA DEL GARDA",EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO,Formazione per adulti,Statale,"Viale Dei Tigli, 43",RIVA DEL GARDA,0464/578511,0464/578555,floriani@pec.provincia.tn.it,segr.istitutofloriani@scuole.provincia.tn.it,www.g-floriani.it,TNCT702007,38066
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""G. Floriani"" - RIVA DEL GARDA",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Scuola Secondaria di Secondo Grado,Statale,"Viale Dei Tigli, 43",RIVA DEL GARDA,0464/578511,0464/578555,floriani@pec.provincia.tn.it,segr.istitutofloriani@scuole.provincia.tn.it,www.g-floriani.it,TNTD00801Q,38066
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""G. Floriani"" - RIVA DEL GARDA",ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Scuola Secondaria di Secondo Grado,Statale,"Viale Dei Tigli, 43",RIVA DEL GARDA,0464/578511,0464/578555,floriani@pec.provincia.tn.it,segr.istitutofloriani@scuole.provincia.tn.it,www.g-floriani.it,TNTD00801Q,38066
"ISTITUTO COMPRENSIVO CLES ""B. Clesio""",SCUOLA PRIMARIA CLES,Scuola Primaria,Statale,"Via Dei Campi Neri, 1",CLES,0463/421457,0463/424830,ic.cles@pec.provincia.tn.it,segr.ic.cles@scuole.provincia.tn.it,www.iccles.it,TNEE83101C,38023
"ISTITUTO COMPRENSIVO ALA ""Antonio Bresciani""","SCUOLA PRIMARIA ""A. BETTA"" ALA",Scuola Primaria,Statale,"Via Betta, 9",ALA,0464/671027,0464/674138,ic.ala@pec.provincia.tn.it,segr.ic.ala@scuole.provincia.tn.it,www.istitutocomprensivoala.it,TNEE84801T,38061
"ISTITUTO COMPRENSIVO CLES ""B. Clesio""","SCUOLA PRIMARIA ""O.Focherini M.Marchesi"" MIONE RUMO",Scuola Primaria,Statale,"Frazione Mione, 54",RUMO,0463/421457,0463/424830,ic.cles@pec.provincia.tn.it,segr.ic.cles@scuole.provincia.tn.it,www.iccles.it,TNEE83103E,38020
"LICEO DELLE ARTI DI TRENTO E ROVERETO ""Vittoria-Bonporti-Depero""",LICEO MUSICALE COREUTICO ,Scuola Secondaria di Secondo Grado,Statale,"Vicolo S Maria Maddalena, 16",TRENTO,0461/260648,0461/824345,info.bonporti@istitutodellearti.tn.it,info@istitutodellearti.tn.it,https://www.istitutodellearti.tn.it,TNSD02000X,38122
ISTITUTO COMPRENSIVO MEZZOLOMBARDO - PAGANELLA,"SCUOLA SECONDARIA DI PRIMO GRADO ""A. ECCHER DALL'ECO"" MEZZOLOMBARDO",Scuola Secondaria di Primo Grado,Statale,"Via Degli Alpini, 17",MEZZOLOMBARDO,0461/601125,0461/601125,ic.mezzolombardo@pec.provincia.tn.it,segr.ic.mezzolombardo@scuole.provincia.tn.it,www.icmezzolombardopaganella.it,TNMM824018,38017
ISTITUTO COMPRENSIVO MEZZOCORONA,"SCUOLA PRIMARIA ""F.LLI BRONZETTI"" ROVERE' DELLA LUNA",Scuola Primaria,Statale,"Via Rosmini, 5/A",ROVERE' DELLA LUNA,0461/605409,0461/605142,ic.mezzocorona@pec.provincia.tn.it,segr.ic.mezzocorona@scuole.provincia.tn.it,www.icmezzocorona.it,TNEE82305N,38030
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA",ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE,Scuola Secondaria di Secondo Grado,Statale,"Via XXIV Maggio, 7",BORGO VALSUGANA,0461/753647,0461/753364,degasperi@pec.provincia.tn.it,segr.istalcidedegasperi@scuole.provincia.tn.it,www.istalcidedegasperi.it,TNTD002505,38051
"ISTITUTO COMPRENSIVO PERGINE 2 ""C. Freinet""","SCUOLA SECONDARIA DI PRIMO GRADO ""T. GARBARI"" PERGINE VALSUGANA",Scuola Secondaria di Primo Grado,Statale,"Via Amstetten, 4",PERGINE VALSUGANA,0461/512312,0461/530043,ic.pergine2@pec.provincia.tn.it,segr.freinet@scuole.provincia.tn.it,www.icpergine2.it,TNMM81501D,38057
ISTITUTO SALESIANO S. CROCE - MEZZANO,SCUOLA SECONDARIA DI PRIMO GRADO SANTA CROCE MEZZANO,Scuola Secondaria di Primo Grado,Paritaria,"Via Molaren, 29",MEZZANO,0439/762019,0439/762664,salesianimezzano@pec.it,segreteria@sdbmezzano.it,www.salesianimezzano.it,TN1M001004,38050
"LICEO ""B. Russell"" - CLES",LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE B. RUSSELL,Scuola Secondaria di Secondo Grado,Statale,"Via 4 Novembre, 35",CLES,0463/424049,0463/424577,russell@pec.provincia.tn.it,segr.russell@scuole.provincia.tn.it,www.liceorussell.eu,TNPM006019,38023
ISTITUTO COMPRENSIVO CENTRO VALSUGANA,SCUOLA PRIMARIA MARTER,Scuola Primaria,Statale,"Via Della Chiesa, 14",RONCEGNO TERME,0461/764581,0461/771046,ic.centrovalsugana@pec.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,www.iccentrovalsugana.it,TNEE813086,38050
ISTITUTO COMPRENSIVO TRENTO 6,"SCUOLA SECONDARIA DI PRIMO GRADO ""A. MANZONI"" TRENTO",Scuola Secondaria di Primo Grado,Statale,"Corso Buonarroti, 50",TRENTO,0461/236214,0461/230583,ic.trento6@pec.provincia.tn.it,segr.ic.tn6@scuole.provincia.tn.it,www.ictrento6.it,TNMM85801B,38122
"LICEO ""A. Maffei"" - RIVA DEL GARDA",LICEO LINGUISTICO,Scuola Secondaria di Secondo Grado,Statale,"Via Alberti Lutti, 7",RIVA DEL GARDA,0464/552316,0464/552316,maffei@pec.provincia.tn.it,segr.liceo.maffei@scuole.provincia.tn.it,https://e.liceomaffei.it,TNPC01000Q,38066
ISTITUTO COMPRENSIVO VIGOLO VATTARO,"SCUOLA PRIMARIA ""DON T. SEGNANA"" CENTA SAN NICOLO'",Scuola Primaria,Statale,"Via Don Rossi, 4",ALTOPIANO DELLA VIGOLANA,0461/848878,0461/845217,ic.vigolovattaro@pec.provincia.tn.it,segr.vigolovattaro@scuole.provincia.tn.it,www.icvigolovattaro.it,TNEE80303A,38049
ISTITUTO COMPRENSIVO CEMBRA,"SCUOLA PRIMARIA ""P. SARTORI"" SOVER",Scuola Primaria,Statale,"Piazza S Lorenzo, 10",SOVER,0461/683006,0461/682166,ic.cembra@pec.provincia.tn.it,segr.cembra@scuole.provincia.tn.it,www.iccembra.it,TNEE822081,38048
ISTITUTO COMPRENSIVO CEMBRA,"SCUOLA SECONDARIA DI PRIMO GRADO ""A. VIELMETTI"" CEMBRA",Scuola Secondaria di Primo Grado,Statale,"Via Negritelle - Cembra, 1",CEMBRA LISIGNAGO,0461/683006,0461/682166,ic.cembra@pec.provincia.tn.it,segr.cembra@scuole.provincia.tn.it,www.iccembra.it,TNMM82201L,38034
ISTITUTO COMPRENSIVO BASSA ANAUNIA - TUENNO,"SCUOLA SECONDARIA DI PRIMO GRADO ""V. VIELMETTI"" DENNO",Scuola Secondaria di Primo Grado,Statale,"Via Colle Verde, 3",DENNO,0461/655783,0461/655783,ic.bassaanaunia@pec.provincia.tn.it,segr.ic.denno@scuole.provincia.tn.it,www.icbassaanauniatuenno.it,TNMM82901B,38010
ISTITUTO COMPRENSIVO FOLGARIA - LAVARONE - LUSERNA,"Scuola dell'Infanzia di Lavarone ""Casa dell'Arcobaleno""",Scuola dell'infanzia,Statale,"Frazione Gionghi,  ",LAVARONE,0464/783098,0464/723563,scuolainfanzia.lavarone@scuole.provincia.tn.it,segr.rella.folgaria@scuole.provincia.tn.it,www.icfolgarialavaroneluserna.it,,38046
ISTITUTO COMPRENSIVO TIONE,SCUOLA PRIMARIA RAGOLI,Scuola Primaria,Statale,"Via Roma - Ragoli, 5",TRE VILLE,0465/321053,0465/324039,ic.tione@pec.provincia.tn.it,segr.ictione@scuole.provincia.tn.it,www.ictione.tn.it,TNEE83602L,38070
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. e G. Fontana"" - ROVERETO",ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Scuola Secondaria di Secondo Grado,Statale,"Via Del Teatro, 4",ROVERETO,0464/436100,0464/434116,fontana@pec.provincia.tn.it,segr.fontana@scuole.provincia.tn.it,www.fgfontana.eu,TNTD020009,38068
"LICEO ""A. Maffei"" - RIVA DEL GARDA",LICEO SCIENTIFICO,Scuola Secondaria di Secondo Grado,Statale,"Via Alberti Lutti, 7",RIVA DEL GARDA,0464/552316,0464/552316,maffei@pec.provincia.tn.it,segr.liceo.maffei@scuole.provincia.tn.it,https://e.liceomaffei.it,TNPC01000Q,38066
"LICEO ""A. Rosmini"" - TRENTO",EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO,Formazione per adulti,Statale,"Via Malfatti, 2",TRENTO,0461/914400,0461/914498,rosmini.trento@pec.provincia.tn.it,segr.rosmini.tn@scuole.provincia.tn.it,www.rosmini.eu,TNCT70500P,38122
"ISTITUTO COMPRENSIVO PERGINE 2 ""C. Freinet""",SCUOLA PRIMARIA MADRANO,Scuola Primaria,Statale,"Via D Oltrefersina, 149",PERGINE VALSUGANA,0461/512312,0461/530043,ic.pergine2@pec.provincia.tn.it,segr.freinet@scuole.provincia.tn.it,www.icpergine2.it,TNEE81504N,38057
"ISTITUTO COMPRENSIVO TRENTO 2 ""J. A. Comenius""",SCUOLA PRIMARIA CASA SERENA,Scuola Primaria,Statale,"Via Alle Campanelle, 23",TRENTO,0461/982113,0461/237554,ic.comenius@pec.provincia.tn.it,segr.ictn2@scuole.provincia.tn.it,www.icomenius.it,TNEE820023,38121
ISTITUTO SACRO CUORE - TRENTO,SCUOLA PRIMARIA SACRO CUORE TRENTO,Scuola Primaria,Paritaria,"Piazza S Teresa Verzeri, 4",TRENTO,0461/981465,0461/982734,,istitutocomprensivo@istitutosacrocuore.it,www.istitutosacrocuore.it,TN1E00300E,38122
ISTITUTO COMPRENSIVO ROVERETO SUD,"SCUOLA PRIMARIA ""F. GUELLA"" LIZZANA",Scuola Primaria,Statale,"Via Piave,  18",ROVERETO,0464/420532,0464/432707,ic.roveretosud@pec.provincia.tn.it,segr.ic.roveretosud@scuole.provincia.tn.it,www.icroveretosud.eu,TNEE855022,38068
ISTITUTO COMPRENSIVO MEZZOCORONA,SCUOLA PRIMARIA GRUMO,Scuola Primaria,Statale,"Via Marconi, 65",SAN MICHELE ALL'ADIGE,0461/605409,0461/605142,ic.mezzocorona@pec.provincia.tn.it,segr.ic.mezzocorona@scuole.provincia.tn.it,www.icmezzocorona.it,TNEE82301D,38010
ISTITUTO COMPRENSIVO ROVERETO EST,"SCUOLA PRIMARIA ""REGINA ELENA"" ROVERETO",Scuola Primaria,Statale,"Via Dante, 41",ROVERETO,0464/439249,0464/450456,ic.roveretoest@pec.provincia.tn.it,segr.ic.roveretoest@scuole.provincia.tn.it,www.roveretoest.it,TNEE85302A,38068
"ISTITUTO COMPRENSIVO TRENTO 2 ""J. A. Comenius""","SCUOLA PRIMARIA ""E. BERNARDI"" COGNOLA",Scuola Primaria,Statale,"Via Ponte Alto, 2/1",TRENTO,0461/982113,0461/237554,ic.comenius@pec.provincia.tn.it,segr.ictn2@scuole.provincia.tn.it,www.icomenius.it,TNEE820012,38121
Scuola dell'infanzia di Carano,Scuola dell'Infanzia di Carano,Scuola dell'infanzia,Paritaria,"Via Giovanelli, 40",VILLE DI FIEMME,0462-341759,,carano.presidente@fpsm.tn.it,carano.segretario@fpsm.tn.it,,,38033
ISTITUTO COMPRENSIVO BASSA ANAUNIA - TUENNO,SCUOLA PRIMARIA VIGO TON,Scuola Primaria,Statale,"Piazza Guardi, 7",TON,0461/655783,0461/655783,ic.bassaanaunia@pec.provincia.tn.it,segr.ic.denno@scuole.provincia.tn.it,www.icbassaanauniatuenno.it,TNEE82905L,38010
Scuola dell'infanzia di Roncegno,Scuola dell'Infanzia di Roncegno,Scuola dell'infanzia,Paritaria,"Via Baldessari, 15",RONCEGNO TERME,0461-764199,,roncegno.presidente@fpsm.tn.it,roncegno.segretario@fpsm.tn.it,,,38050
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE","EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO ""LA ROSA BIANCA""",Formazione per adulti,Statale,"Via Gandhi, 1",CAVALESE,0462/341449,0462/248071,weisserose@pec.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,www.scuolefiemme.tn.it,TNCT710006,38033
"ISTITUTO COMPRENSIVO RIVA 2 ""L. Pizzini""","SCUOLA PRIMARIA ""O. LUCCHI"" TENNO",Scuola Primaria,Statale,"Via dei laghi, 47",TENNO,0464/552170,0464/520789,ic.riva2@pec.provincia.tn.it,segr.ic.riva2@scuole.provincia.tn.it,www.riva2.it,TNEE84202X,38060
"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO",LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE,Scuola Secondaria di Secondo Grado,Statale,"Via Perlasca, 4",MEZZOLOMBARDO,0461/601122,0461/601470,martini@pec.provincia.tn.it,segr.martini.mezzolombardo@scuole.provincia.tn.it,www.martinomartini.eu,TNPS00301R,38017
Scuola dell'infanzia di Sarche,Scuola dell'Infanzia di Sarche,Scuola dell'infanzia,Paritaria,"Via Caffaro - Sarche - Calavino, 6",MADRUZZO,0461-564028,,sarche.presidente@fpsm.tn.it,sarche.segretario@fpsm.tn.it,,,38076
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. e G. Fontana"" - ROVERETO",ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE,Scuola Secondaria di Secondo Grado,Statale,"Via Del Teatro, 4",ROVERETO,0464/436100,0464/434116,fontana@pec.provincia.tn.it,segr.fontana@scuole.provincia.tn.it,www.fgfontana.eu,TNTD02050P,38068
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA",LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE,Scuola Secondaria di Secondo Grado,Statale,"Via XXIV Maggio, 7",BORGO VALSUGANA,0461/753647,0461/753364,degasperi@pec.provincia.tn.it,segr.istalcidedegasperi@scuole.provincia.tn.it,www.istalcidedegasperi.it,TNPS002011,38051
Scuola dell'infanzia di Ponte Arche,Scuola dell'Infanzia di Ponte Arche,Scuola dell'infanzia,Paritaria,"Via Don G. Bosco, 7, Ponte Arche",COMANO TERME,0465-702422,,ponte.arche.presidente@fpsm.tn.it,ponte.arche.segretario@fpsm.tn.it,,,38070
ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO,ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Scuola Secondaria di Secondo Grado,Statale,"Via Delle Fonti - Transacqua, 10",PRIMIERO SAN MARTINO DI CASTROZZA,0439/62435,0439/762466,ic.primiero@pec.provincia.tn.it,segr.icprimiero@scuole.provincia.tn.it,www.scuoleprimiero.it,TNTD170007,38054
ISTITUTO COMPRENSIVO TRENTO 5,"SCUOLA PRIMARIA ""F. CRISPI"" TRENTO",Scuola Primaria,Statale,"Via S Giovanni Bosco, 8",TRENTO,0461/263331,0461/984463,ic.tn5@pec.provincia.tn.it,segr.ic.tn5@scuole.provincia.tn.it,http://www.istitutotrento5.it/,TNEE85202E,38122
"ISTITUTO COMPRENSIVO RIVA 2 ""L. Pizzini""","SCUOLA PRIMARIA ""G. FEDRIGONI"" VARONE RIVA DEL GARDA",Scuola Primaria,Statale,"Piazza della Chiesa, 13",RIVA DEL GARDA,0464/552170,0464/520789,ic.riva2@pec.provincia.tn.it,segr.ic.riva2@scuole.provincia.tn.it,www.riva2.it,TNEE842031,38066
ISTITUTO COMPRENSIVO CIVEZZANO,"SCUOLA SECONDARIA DI PRIMO GRADO ""G. ALESSANDRINI"" CIVEZZANO",Scuola Secondaria di Primo Grado,Statale,"Via Murialdo, 27",CIVEZZANO,0461/858485,0461/858901,ic.civezzano@pec.provincia.tn.it,segr.i.c.civezzano@scuole.provincia.tn.it,www.iccivezzano.eu,TNMM817015,38045
Scuola dell'infanzia di Torcegno,Scuola dell'Infanzia di Torcegno,Scuola dell'infanzia,Paritaria,"Via Della Fontana, 15",TORCEGNO,0461-760796,,torcegno.presidente@fpsm.tn.it,torcegno.segretario@fpsm.tn.it,,,38050
ISTITUTO COMPRENSIVO VIGOLO VATTARO,"SCUOLA PRIMARIA ""A. FOGAZZARO"" VATTARO",Scuola Primaria,Statale,"Via Venezia - Bosentino, 12/A",ALTOPIANO DELLA VIGOLANA,0461/848878,0461/845217,ic.vigolovattaro@pec.provincia.tn.it,segr.vigolovattaro@scuole.provincia.tn.it,www.icvigolovattaro.it,TNEE803029,38049
